"activeItem","Rec1","Rec2","Rec3","Rec4","Rec5"
"12","10060","10238","10390","10406","10678"
"45274","31820","3528","51285","57853","64479"
"10104","10143","10250","11091","14285","15831"
"41371","54689","29539","12994","13467","13546"
"14015","64572","12230","23029","3040","39887"
"28515","10716","11532","11809","1425","14354"
"70766","10026","10098","10199","10796","10972"
"1822","64536","15465","29138","46286","52732"
"56794","25168","32025","2121","44420","4310"
"60188","14935","23137","23823","52068","40915"
"62060","1136","34366","40031","23422","37310"
"31401","68192","20819","21153","27670","28238"
"6420","11583","12424","14077","14843","17543"
"72855","10716","11809","1425","14354","16686"
"73378","29605","32216","14700","66162","46376"
"25049","26157","10021","10920","120","167"
"24603","76993","75981","65061","70182","38770"
"5737","27599","39598","60655","29098","74591"
"38980","10377","11052","11081","1119","11276"
"13382","8339","33235","13949","45296","57306"
"75121","26274","28451","39425","61099","64495"
"39779","49868","11693","11769","14182","15917"
"14026","33850","401","57203","61643","78341"
"9392","12209","2060","21650","24696","27772"
"77956","48325","70706","25462","43848","51410"
"70300","3538","40885","12115","17638","57610"
"77134","55263","8101","18824","17479","15634"
"75340","10324","10660","10804","10869","10949"
"51066","18468","20782","22445","23997","26083"
"67776","5558","45814","14989","23008","44533"
"53929","59951","19033","15915","45329","36869"
"22342","10663","13050","15060","15272","15296"
"41116","41317","13711","14526","72351","9113"
"60331","32414","42353","1607","20936","30734"
"65307","18037","8217","11915","18578","21980"
"50039","6289","46393","24036","2885","34383"
"42184","11655","22860","32386","71028","43213"
"76163","10286","10292","10553","11342","11347"
"2319","63634","8183","61622","56579","56051"
"62494","27493","38402","43317","74201","29946"
"31015","1346","16444","16771","1699","22260"
"21497","48669","21680","19761","77708","50618"
"53008","11125","11715","12478","13704","15448"
"39308","46617","31576","36430","31965","10158"
"4690","26904","41477","63042","13847","16900"
"19777","27495","21918","27295","2647","54035"
"10078","43270","10078",NA,NA,NA
"65353","12087","15305","24409","28776","48159"
"58847","1119","1501","17090","17869","18356"
"61593","9389","18066","21222","39398","50498"
"18537","43911","8931","33815","33948","34454"
"73427","69212","29914","67945","78319","78195"
"7521","10695","1223","12274","12571","12877"
"71586","6118","33094","40865","3421","20114"
"13772","68041","30645","32437","63639","63688"
"33092","63952","8906","53575","31348","56217"
"74398","72081","75892","71574","39293","7996"
"74089","7163","18468","20782","22445","23997"
"57282","10562","1065","114","12625","13501"
"38760","55984","29711","32266","45237","5291"
"15657","10029","10234","11105","11623","11902"
"17665","55365","27399","14524","23319","2015"
"75251","47577","10372","11565","11726","12625"
"56282","71747","20641","27774","25040","26012"
"73973","58760","10435","11008","14061","15262"
"19994","31012","12092","14108","15795","16210"
"47098","68978","44842","55479","73135","76351"
"54190","70926","48356","10089","10561","10594"
"61043","10021","10920","11677","120","12176"
"78675","46591","22205","44288","11185","13185"
"40394","10027","10070","10072","10090","1011"
"43844","6306","76137","10859","10898","10915"
"27300","72961","10194","1063","10720","10799"
"22870","10850","1110","1132","12332","12417"
"61707","10770","10887","11507","11588","11622"
"17888","17888","69803","43813","61335","46860"
"48292","41260","14912","15996","4921","49675"
"2054","7729","21124","22698","14547","66868"
"6643","24777","61661","22561","19016","2126"
"3857","45436","3931","23330","12726","4409"
"64350","65202","10097","10106","10209","10323"
"10833","10000","10737","11956","12214","1288"
"33556","71374","13985","17278","38892","12751"
"23256","31874","14050","10695","1223","12571"
"53880","32847","58463","26852","57996","45208"
"75694","52898","56415","19642","21390","72675"
"17770","16427","15905","10140","13158","13411"
"9365","56869","60882","10002","165","16866"
"11177","68293","1053","10911","11912","13142"
"48659","56860","61842","22291","55334","75444"
"18169","55524","34955","10954","11546","11584"
"48490","10125","10241","10681","10695","10778"
"70627","10324","10660","10804","10869","10949"
"40000","1113","40703","53538","57747","65452"
"18665","28211","10419","11164","11454","1265"
"35574","77348","10304","10809","1102","11381"
"11732","1530","18468","20782","22445","23997"
"6798","16780","33862","15605","28096","36734"
"42415","10062","1022","10382","10440","11492"
"64236","27559","14667","10099","10149","10248"
"60644","11609","12959","13081","18477","18888"
"11595","11595","74620","34261","35519","34318"
"39957","33567","71266","23483","30967","78754"
"1519","10324","10660","10804","10869","10949"
"10075","8339","33235","13949","45296","57306"
"25209","17655","72972","41458","45947","49853"
"7108","10069","10075","10096","10471","1095"
"67848","10562","1065","114","12625","13501"
"40424","10901","11681","12181","12384","12501"
"72523","22110","22949","27228","72610","49196"
"60588","10577","11179","11216","1132","11407"
"21315","10227","12034","1289","28482","31175"
"50356","60780","64507","39253","9795","39993"
"75904","55151","39989","952","11006","13307"
